 number of kpoints:        1936
 number of conduction states           2
 number of valence states           2
 # kx ky kz nocp nc nv  energy  xx  yy  zz  xy  xz  yz
  0.592684  1.237135  0.000000        14        15        13  2.593623  0.001822  0.001958  0.000000  0.000123  0.000000  0.000000
  1.413324  2.184728  0.000000        14        15        14  2.593647  0.002727  0.002374  0.000000  0.000329  0.000000  0.000000
  0.592684  1.289779  0.000000        14        15        14  2.593665  0.003061  0.002667  0.000000  0.000369  0.000000  0.000000
  0.775048  1.131847  0.000000        14        15        13  2.593699  0.001928  0.002081  0.000000  0.000127  0.000000  0.000000
  1.230959  2.342660  0.000000        14        15        13  2.593707  0.001667  0.001801  0.000000  0.000110  0.000000  0.000000
  0.775048  1.184491  0.000000        14        15        13  2.593740  0.002105  0.002237  0.000000 -0.000138  0.000000  0.000000
  1.230959  2.290016  0.000000        14        15        13  2.593753  0.001804  0.001917  0.000000 -0.000118  0.000000  0.000000
  1.185368  2.316338  0.000000        14        15        14  2.593795  0.002308  0.003102  0.000000  0.000013  0.000000  0.000000
  0.820640  1.158169  0.000000        14        15        14  2.593824  0.002671  0.003592  0.000000  0.000014  0.000000  0.000000
  0.638275  1.052881  0.000000        14        15        13  2.593890  0.002211  0.001939  0.000000 -0.000004  0.000000  0.000000
  1.367733  2.421626  0.000000        14        15        13  2.593915  0.002096  0.001839  0.000000 -0.000002  0.000000  0.000000
  0.592684  1.079203  0.000000        14        15        13  2.593960  0.002067  0.002204  0.000000 -0.000125  0.000000  0.000000
  1.413324  2.395304  0.000000        14        15        13  2.593980  0.002072  0.002208  0.000000 -0.000123  0.000000  0.000000
  1.413324  2.447948  0.000000        14        15        14  2.594134  0.003275  0.002811  0.000000 -0.000405  0.000000  0.000000
  0.592684  1.026559  0.000000        14        15        14  2.594158  0.003604  0.003093  0.000000 -0.000446  0.000000  0.000000
  1.413324  2.184728  0.000000        14        16        14  2.597562  2.797835  2.436807  0.000000  0.336029  0.000000  0.000000
  0.592684  1.289779  0.000000        14        16        14  2.597580  2.797512  2.436433  0.000000  0.336032  0.000000  0.000000
  1.185368  2.316338  0.000000        14        16        14  2.597725  2.235605  3.000721  0.000000  0.011084  0.000000  0.000000
  0.820640  1.158169  0.000000        14        16        14  2.597772  2.235136  3.000230  0.000000  0.011049  0.000000  0.000000
  1.413324  2.447948  0.000000        14        16        14  2.598061  2.836730  2.436760  0.000000 -0.351048  0.000000  0.000000
  0.592684  1.026559  0.000000        14        16        14  2.598082  2.836479  2.436373  0.000000 -0.351099  0.000000  0.000000
  0.638275  1.263457  0.000000        14        16        13  2.598446  3.190139  2.773083  0.000000 -0.019973  0.000000  0.000000
  1.367733  2.211050  0.000000        14        16        13  2.598454  3.190426  2.773245  0.000000 -0.019963  0.000000  0.000000
  0.592684  1.237135  0.000000        14        16        13  2.598455  2.847837  3.063578  0.000000  0.191150  0.000000  0.000000
  1.413324  2.237372  0.000000        14        16        13  2.598460  2.848068  3.063712  0.000000  0.191181  0.000000  0.000000
  0.775048  1.131847  0.000000        14        16        13  2.598514  2.843257  3.068925  0.000000  0.187702  0.000000  0.000000
  1.230959  2.342660  0.000000        14        16        13  2.598534  2.843444  3.069318  0.000000  0.187724  0.000000  0.000000
  0.775048  1.184491  0.000000        14        16        13  2.598545  2.893085  3.070631  0.000000 -0.191261  0.000000  0.000000
  1.230959  2.290016  0.000000        14        16        13  2.598577  2.893253  3.070982  0.000000 -0.191267  0.000000  0.000000
  0.638275  1.052881  0.000000        14        16        13  2.598732  3.160336  2.772638  0.000000 -0.003603  0.000000  0.000000
  1.367733  2.421626  0.000000        14        16        13  2.598751  3.160508  2.772657  0.000000 -0.003654  0.000000  0.000000
  0.592684  1.079203  0.000000        14        16        13  2.598791  2.868852  3.062420  0.000000 -0.171243  0.000000  0.000000
  1.413324  2.395304  0.000000        14        16        13  2.598813  2.868934  3.062321  0.000000 -0.171289  0.000000  0.000000
  1.276551  2.474270  0.000000        14        15        14  2.598856  0.000380  0.000270  0.000000  0.000069  0.000000  0.000000
  0.729457  1.000237  0.000000        14        15        14  2.598880  0.000430  0.000304  0.000000  0.000078  0.000000  0.000000
  1.230959  2.447948  0.000000        14        15        14  2.598886  0.000336  0.000298  0.000000  0.000090  0.000000  0.000000
  0.775048  1.026559  0.000000        14        15        14  2.598899  0.000365  0.000322  0.000000  0.000098  0.000000  0.000000
  1.504506  2.342660  0.000000        14        15        14  2.599091  0.000304  0.000529  0.000000 -0.000018  0.000000  0.000000
  1.504506  2.290016  0.000000        14        15        14  2.599098  0.000286  0.000506  0.000000  0.000035  0.000000  0.000000
  0.501502  1.131847  0.000000        14        15        14  2.599105  0.000271  0.000472  0.000000 -0.000016  0.000000  0.000000
  0.501502  1.184491  0.000000        14        15        14  2.599107  0.000264  0.000467  0.000000  0.000032  0.000000  0.000000
  1.230959  2.184728  0.000000        14        15        14  2.599423  0.000466  0.000381  0.000000 -0.000123  0.000000  0.000000
  1.276551  2.158406  0.000000        14        15        14  2.599426  0.000499  0.000333  0.000000 -0.000097  0.000000  0.000000
  0.775048  1.289779  0.000000        14        15        14  2.599426  0.000499  0.000407  0.000000 -0.000131  0.000000  0.000000
  0.729457  1.316101  0.000000        14        15        14  2.599431  0.000532  0.000354  0.000000 -0.000103  0.000000  0.000000
  1.276551  2.474270  0.000000        14        16        14  2.608393  3.301265  2.330348  0.000000  0.602772  0.000000  0.000000
  0.729457  1.000237  0.000000        14        16        14  2.608415  3.300995  2.330207  0.000000  0.602744  0.000000  0.000000
  1.230959  2.447948  0.000000        14        16        14  2.608425  2.974483  2.619476  0.000000  0.801402  0.000000  0.000000
  0.775048  1.026559  0.000000        14        16        14  2.608444  2.974269  2.619408  0.000000  0.801384  0.000000  0.000000
  1.504506  2.342660  0.000000        14        16        14  2.608634  2.046855  3.578424  0.000000 -0.119827  0.000000  0.000000
  1.504506  2.290016  0.000000        14        16        14  2.608640  2.010957  3.578488  0.000000  0.246669  0.000000  0.000000
  0.501502  1.131847  0.000000        14        16        14  2.608668  2.046906  3.578380  0.000000 -0.119869  0.000000  0.000000
  0.501502  1.184491  0.000000        14        16        14  2.608671  2.010992  3.578356  0.000000  0.246695  0.000000  0.000000
